event,timestamp,mouse_x,mouse_y
MouseEvents.MOVE,1742458148.7200184,386,537
MouseEvents.MOVE,1742458148.7267137,412,541
MouseEvents.MOVE,1742458148.7344923,442,543
MouseEvents.MOVE,1742458148.7417052,470,545
MouseEvents.MOVE,1742458148.747947,498,544
MouseEvents.MOVE,1742458148.7554805,526,543
MouseEvents.MOVE,1742458148.7621458,551,541
MouseEvents.MOVE,1742458148.7704332,577,538
MouseEvents.MOVE,1742458148.7773297,600,535
MouseEvents.MOVE,1742458148.7840247,623,532
MouseEvents.MOVE,1742458148.7916043,644,529
MouseEvents.MOVE,1742458148.7980003,664,527
MouseEvents.MOVE,1742458148.8054314,675,525
MouseEvents.MOVE,1742458148.8123083,687,524
MouseEvents.MOVE,1742458148.8194618,694,521
MouseEvents.MOVE,1742458148.8259525,701,521
MouseEvents.MOVE,1742458148.8333242,707,519
MouseEvents.MOVE,1742458148.8409193,711,518
MouseEvents.MOVE,1742458148.8477986,715,517
MouseEvents.MOVE,1742458148.8545694,718,515
MouseEvents.MOVE,1742458148.8612125,722,514
MouseEvents.MOVE,1742458148.8703334,727,512
MouseEvents.MOVE,1742458148.8774314,733,510
MouseEvents.MOVE,1742458148.883884,739,508
MouseEvents.MOVE,1742458148.8910036,742,505
MouseEvents.MOVE,1742458148.8980477,745,502
MouseEvents.MOVE,1742458148.9050276,748,497
MouseEvents.MOVE,1742458148.9122694,752,491
MouseEvents.MOVE,1742458148.918261,755,485
MouseEvents.MOVE,1742458148.9263253,757,481
MouseEvents.MOVE,1742458148.932489,758,476
MouseEvents.MOVE,1742458148.940235,760,470
MouseEvents.MOVE,1742458148.9469259,760,462
MouseEvents.MOVE,1742458148.9531534,760,444
MouseEvents.MOVE,1742458148.960334,758,413
MouseEvents.MOVE,1742458148.968964,752,386
MouseEvents.MOVE,1742458148.975897,743,366
MouseEvents.MOVE,1742458148.9826066,728,347
MouseEvents.MOVE,1742458148.989652,713,327
MouseEvents.MOVE,1742458148.9963622,698,313
MouseEvents.MOVE,1742458149.003746,688,303
MouseEvents.MOVE,1742458149.0104842,678,296
MouseEvents.MOVE,1742458149.0179927,661,288
MouseEvents.MOVE,1742458149.024306,643,279
MouseEvents.MOVE,1742458149.031806,627,274
MouseEvents.MOVE,1742458149.03841,611,272
MouseEvents.MOVE,1742458149.0461426,592,271
MouseEvents.MOVE,1742458149.0523071,569,271
MouseEvents.MOVE,1742458149.05978,546,274
MouseEvents.MOVE,1742458149.0674944,525,278
MouseEvents.MOVE,1742458149.074649,502,281
MouseEvents.MOVE,1742458149.0816298,479,284
MouseEvents.MOVE,1742458149.088612,460,288
MouseEvents.MOVE,1742458149.095357,447,290
MouseEvents.MOVE,1742458149.1020987,434,292
MouseEvents.MOVE,1742458149.1099882,424,296
MouseEvents.MOVE,1742458149.1161833,415,299
MouseEvents.MOVE,1742458149.1235983,408,304
MouseEvents.MOVE,1742458149.1302354,401,308
MouseEvents.MOVE,1742458149.1385345,393,313
MouseEvents.MOVE,1742458149.1469316,387,320
MouseEvents.MOVE,1742458149.1532402,381,325
MouseEvents.MOVE,1742458149.1605096,377,329
MouseEvents.MOVE,1742458149.168448,373,335
MouseEvents.MOVE,1742458149.1757996,370,338
MouseEvents.MOVE,1742458149.185888,366,341
MouseEvents.MOVE,1742458150.4855022,344,332
MouseEvents.MOVE,1742458150.4922404,317,324
MouseEvents.MOVE,1742458150.4996696,285,317
MouseEvents.MOVE,1742458150.5063248,254,314
MouseEvents.MOVE,1742458150.5137079,222,309
MouseEvents.MOVE,1742458150.5202491,191,304
MouseEvents.MOVE,1742458150.5278642,163,302
MouseEvents.MOVE,1742458150.5350914,134,298
MouseEvents.MOVE,1742458150.5417845,108,295
MouseEvents.MOVE,1742458150.5482676,93,292
MouseEvents.MOVE,1742458150.5554576,81,290
MouseEvents.MOVE,1742458150.5626068,69,289
MouseEvents.MOVE,1742458150.570364,57,287
MouseEvents.MOVE,1742458150.5775476,48,286
MouseEvents.MOVE,1742458150.5849822,40,286
MouseEvents.MOVE,1742458150.5920076,35,286
MouseEvents.MOVE,1742458150.5992353,29,288
MouseEvents.MOVE,1742458150.6071997,25,289
MouseEvents.MOVE,1742458150.615436,21,291
MouseEvents.MOVE,1742458150.623413,18,294
MouseEvents.MOVE,1742458150.6313941,14,298
MouseEvents.MOVE,1742458150.639509,9,306
MouseEvents.MOVE,1742458150.6551774,2,314
MouseEvents.MOVE,1742458150.6561944,-2,323
MouseEvents.MOVE,1742458150.6602404,-4,329
MouseEvents.MOVE,1742458150.6688573,-3,334
MouseEvents.MOVE,1742458150.6769989,-3,340
MouseEvents.MOVE,1742458150.6849318,-1,344
MouseEvents.MOVE,1742458150.6920524,-1,349
MouseEvents.MOVE,1742458150.6987438,0,354
MouseEvents.MOVE,1742458150.7065666,2,361
